"","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time"
"2663","id0020",115,0,1,1,"riskyDecoy","SDR","R",99,0.25,37,0.67,99,0.12,"S","D","f","S","S","R","f","S",1,912,996
"2664","id0020",116,0,1,1,"safeDecoy","DRS","S",74,0.44,44,0.74,39,0.74,"D","R","f","D","D","S","j","S",0,1336,2132
"2665","id0020",117,0,1,1,"safeDecoy","SRD","D",89,0.26,33,0.7,27,0.7,"S","R","f","S","S","D","f","S",0,765,1052
"2666","id0020",118,0,1,1,"safeDecoy","SDR","R",99,0.23,40,0.57,30,0.57,"S","D","f","S","S","R","f","S",0,1133,711
"2667","id0020",119,0,1,1,"safeDecoy","RSD","D",72,0.24,23,0.76,15,0.76,"R","S","j","S","D","S","j","S",0,591,1103
"2668","id0020",120,0,1,1,"safeDecoy","RSD","D",79,0.44,46,0.76,39,0.76,"R","S","j","S","D","S","j","S",0,1639,964
"2669","id0020",121,0,1,1,"riskyDecoy","RSD","D",95,0.25,32,0.74,95,0.13,"R","S","j","S","D","S","j","S",0,1149,990
"2670","id0020",122,0,1,1,"safeDecoy","SRD","D",75,0.45,47,0.72,39,0.72,"S","R","f","S","S","D","f","S",0,1052,936
"2671","id0020",123,0,1,1,"safeDecoy","DSR","R",98,0.35,47,0.73,40,0.73,"D","S","j","S","R","S","j","S",0,1114,920
"2672","id0020",124,0,1,1,"safeDecoy","RDS","S",96,0.27,36,0.72,30,0.72,"R","D","j","D","S","D","f","S",0,1148,1101
"2673","id0020",125,0,1,1,"riskyDecoy","SRD","D",97,0.43,67,0.62,97,0.33,"S","R","f","S","S","D","f","S",0,1344,940
"2674","id0020",126,0,1,1,"safeDecoy","DSR","R",90,0.42,61,0.62,52,0.62,"D","S","j","S","S","R","f","S",0,1703,1560
"2675","id0020",127,0,1,1,"riskyDecoy","DRS","S",91,0.4,51,0.72,91,0.3,"D","R","j","R","S","R","f","S",0,1515,1771
"2676","id0020",128,0,1,1,"riskyDecoy","SDR","R",87,0.28,40,0.61,87,0.17,"S","D","f","S","R","S","j","S",0,999,770
"2677","id0020",129,0,1,1,"safeDecoy","RDS","S",88,0.22,27,0.71,18,0.71,"R","D","j","D","S","D","f","S",0,873,636
"2678","id0020",130,0,1,1,"riskyDecoy","DSR","R",80,0.4,42,0.77,80,0.26,"D","S","j","S","R","S","j","S",0,1117,1034
"2679","id0020",131,0,1,1,"riskyDecoy","RDS","S",98,0.41,66,0.61,98,0.31,"R","D","f","R","R","S","j","S",0,1475,1715
